patent_id,section,cpc_class,cpc_subclass
10574743,G,G06,G06F
10591763,Y,Y02,Y02E
10604751,C,C12,C12N
10690608,G,G01,G01N
10717442,G,G06,G06V
10725449,B,B33,B33Y
10757259,H,H04,H04M
10793458,Y,Y02,Y02P
10804626,H,H01,H01R
10873819,H,H04,H04R
10888882,B,B05,B05B
10963191,H,H10,H10B
11019196,H,H04,H04W
11021399,Y,Y02,Y02W
11063987,H,H04,H04W
11100521,G,G06,G06Q
11120388,B,B64,B64U
11162108,C,C12,C12N
11202491,A,A45,A45D
11214034,B,B31,B31B
11220334,B,B64,B64U
11432537,A,A01,A01K
11473588,F,F05,F05B
11533932,A,A23,A23J
11566646,B,B64,B64C
11597159,B,B29,B29C
11604466,G,G05,G05D
11623799,B,B65,B65D
11884743,G,G01,G01N
11894522,Y,Y02,Y02P
11903508,A,A47,A47C
11906779,G,G02,G02B
11937613,A,A22,A22C
11982768,G,G01,G01S
11987481,B,B66,B66F
12000052,B,B41,B41M
12005617,B,B29,B29L
12017201,C,C01,C01B
12077108,H,H01,H01B
12085209,F,F16,F16L
12090470,C,C01,C01G
12215607,F,F02,F02K
12272867,H,H04,H04M
12400485,G,G06,G06T
3978341,B,B29,B29C
4154183,A,A41,A41D
4166973,G,G01,G01N
4226844,C,C01,C01F
4321478,H,H02,H02J
4426769,H,H01,H01L
4494800,B,B60,B60T
4502456,B,B23,B23F
4506415,B,B65,B65D
4524759,Y,Y02,Y02B
4598543,F,F02,F02K
4660452,B,B30,B30B
4685904,A,A61,A61B
4798647,B,B29,B29D
4889004,C,C21,C21B
4899299,G,G06,G06F
4909971,B,B29,B29K
4916898,F,F02,F02B
4950337,C,C22,C22F
4958758,A,A45,A45F
5024961,H,H10,H10D
5025645,D,D06,D06F
5070458,G,G05,G05D
5113899,F,F16,F16K
5146981,H,H01,H01L
5176003,H,H01,H01F
5210676,H,H01,H01R
5249342,B,B25,B25B
5298770,H,H01,H01L
5315472,H,H05,H05F
5346076,A,A47,A47F
5456882,G,G01,G01N
5515303,Y,Y02,Y02D
5605550,H,H01,H01M
5682238,G,G01,G01S
5690114,A,A61,A61B
5716888,H,H01,H01L
5748633,G,G06,G06F
5785879,H,H01,H01L
5856117,G,G01,G01N
5961044,Y,Y02,Y02A
5997286,C,C21,C21D
6060783,H,H10,H10B
6123588,H,H01,H01R
6182549,B,B26,B26F
6237340,F,F01,F01K
6246156,G,G01,G01N
6291236,C,C07,C07K
6348472,A,A61,A61P
6395533,C,C12,C12N
6442691,G,G06,G06F
6690076,H,H10,H10F
6835221,Y,Y02,Y02C
6876023,H,H10,H10D
6993953,B,B21,B21D
7010066,H,H04,H04B
7024943,B,B29,B29C
7065926,B,B62,B62D
7095622,H,H01,H01R
7107756,F,F02,F02K
7118764,A,A61,A61K
7137841,H,H01,H01R
7178823,B,B62,B62D
7242792,G,G06,G06V
7260068,H,H04,H04W
7286628,G,G01,G01N
7300013,B,B29,B29C
7317268,H,H02,H02K
7370698,E,E21,E21B
7397224,H,H02,H02P
7481316,B,B65,B65D
7482400,C,C09,C09K
7548912,G,G06,G06F
7805690,G,G06,G06F
7859009,H,H03,H03K
7867505,A,A61,A61Q
7867985,A,A61,A61L
7890265,G,G01,G01V
7923473,A,A61,A61P
8037336,H,H03,H03M
8033920,F,F16,F16D
8041001,G,G16,G16H
8081072,G,G01,G01S
8180667,G,G06,G06Q
8267833,F,F16,F16H
8321660,H,H04,H04L
8365654,B,B60,B60T
8431084,C,C07,C07C
8493206,H,H04,H04L
8574981,H,H01,H01L
8621806,E,E04,E04B
8635333,G,G06,G06F
8641922,B,B01,B01D
8739943,E,E01,E01F
8808373,A,A61,A61F
8866011,G,G06,G06F
8895551,A,A61,A61P
8960944,F,F21,F21Y
9043263,Y,Y02,Y02E
9079892,C,C07,C07D
9080497,F,F01,F01P
9125504,A,A47,A47F
9161872,A,A61,A61G
9194651,F,F41,F41C
9228003,C,C12,C12Y
9311621,G,G06,G06Q
9521256,H,H04,H04M
9589199,G,G06,G06K
9611080,F,F21,F21S
9673752,Y,Y02,Y02B
9694871,B,B62,B62K
9705047,H,H01,H01L
9722370,Y,Y10,Y10T
9931746,A,A01,A01D
9942127,H,H04,H04L
10015365,G,G06,G06F
10022811,B,B26,B26D
10118442,B,B23,B23K
10132067,F,F16,F16K
10147150,G,G06,G06Q
10144972,C,C12,C12P
10156594,B,B67,B67D
10175136,G,G01,G01M
10188963,B,B01,B01D
10243107,H,H01,H01L
10292219,H,H05,H05B
5227097,G,G01,G01T
3937641,F,F16,F16L
4037326,A,A01,A01K
4212940,C,C07,C07J
4225632,G,G01,G01L
4602980,C,C30,C30B
4659334,C,C10,C10M
4693074,F,F23,F23D
4857586,D,D06,D06P
5082621,G,G21,G21K
5200322,G,G01,G01N
5409950,C,C07,C07D
5454782,A,A61,A61M
5573557,C,C10,C10L
5794018,H,H04,H04N
6221291,B,B29,B29K
6387399,B,B01,B01F
6414834,H,H01,H01L
6415335,G,G06,G06F
6583479,G,G11,G11C
6960276,B,B29,B29C
7238514,C,C12,C12N
7404756,B,B24,B24D
7635593,B,B01,B01D
7732544,B,B01,B01J
7855049,A,A61,A61P
8021603,C,C21,C21B
8135920,G,G06,G06F
8153889,Y,Y02,Y02P
8217269,H,H01,H01L
8421532,H,H03,H03H
8445962,H,H10,H10H
8486684,C,C02,C02F
8882307,F,F21,F21S
9072088,H,H04,H04W
9134744,H,H02,H02J
9238583,C,C01,C01B
9277686,B,B25,B25B
9313397,G,G06,G06F
9492974,B,B29,B29C
9529279,G,G01,G01N
9580316,C,C01,C01B
9629321,A,A01,A01G
9845408,C,C08,C08K
9863369,F,F02,F02B
9905454,C,C23,C23C
9929549,F,F16,F16M
10261393,G,G03,G03D
10268203,B,B60,B60R
10271555,A,A01,A01G
10326399,B,B25,B25F
10403115,G,G06,G06Q
10399301,B,B32,B32B
10433130,G,G06,G06F
10472743,B,B60,B60C
10591763,H,H10,H10D
10624086,H,H04,H04W
10680952,G,G06,G06F
10777395,C,C23,C23C
10827319,G,G06,G06F
10853163,G,G11,G11C
10867146,G,G16,G16H
10876960,G,G01,G01N
10946997,G,G01,G01N
10954297,A,A61,A61P
11041713,G,G01,G01B
11319292,A,A61,A61K
11499734,Y,Y02,Y02B
11756811,B,B08,B08B
11949122,H,H01,H01M
12000052,B,B23,B23K
12005617,A,A63,A63B
12077108,B,B60,B60R
3933242,B,B65,B65D
